Run	age	treatment_time	sex	source_name	strain	tissue	treatment
SRR17261634	22_months	7-months	male	old-kidney	4F-het-C57BL/6	Kidney	Dox-4F
SRR17261635	22_months	7-months	male	old-kidney	4F-het-C57BL/6	Kidney	Dox-4F
SRR17261636	22_months	7-months	female	old-kidney	4F-het-C57BL/6	Kidney	Dox-4F
SRR17261637	22_months	7-months	female	old-kidney	4F-het-C57BL/6	Kidney	Dox-4F
SRR17261638	22_months	7-months	female	old-kidney	4F-het-C57BL/6	Kidney	Dox-4F
SRR17261639	22_months	7-months	male	old-kidney	C57BL/6	Kidney	Control
SRR17261640	22_months	7-months	male	old-kidney	C57BL/6	Kidney	Control
SRR17261641	22_months	7-months	male	old-kidney	C57BL/6	Kidney	Control
SRR17261642	22_months	7-months	male	old-kidney	C57BL/6	Kidney	Control
SRR17261643	22_months	7-months	female	old-kidney	C57BL/6	Kidney	Control
SRR17261644	22_months	7-months	male	old-liver	4F-het-C57BL/6	Liver	Dox-4F
SRR17261645	22_months	7-months	male	old-liver	4F-het-C57BL/6	Liver	Dox-4F
SRR17261646	22_months	7-months	female	old-liver	4F-het-C57BL/6	Liver	Dox-4F
SRR17261647	22_months	7-months	female	old-liver	4F-het-C57BL/6	Liver	Dox-4F
SRR17261648	22_months	7-months	female	old-liver	4F-het-C57BL/6	Liver	Dox-4F
SRR17261649	22_months	7-months	male	old-liver	C57BL/6	Liver	Control
SRR17261650	22_months	7-months	male	old-liver	C57BL/6	Liver	Control
SRR17261651	22_months	7-months	male	old-liver	C57BL/6	Liver	Control
SRR17261652	22_months	7-months	male	old-liver	C57BL/6	Liver	Control
SRR17261653	22_months	7-months	female	old-liver	C57BL/6	Liver	Control
SRR17261654	22_months	7-months	male	old-lung	4F-het-C57BL/6	Lung	Dox-4F
SRR17261655	22_months	7-months	male	old-lung	4F-het-C57BL/6	Lung	Dox-4F
SRR17261656	22_months	7-months	female	old-lung	4F-het-C57BL/6	Lung	Dox-4F
SRR17261657	22_months	7-months	female	old-lung	4F-het-C57BL/6	Lung	Dox-4F
SRR17261658	22_months	7-months	female	old-lung	4F-het-C57BL/6	Lung	Dox-4F
SRR17261659	22_months	7-months	male	old-lung	C57BL/6	Lung	Control
